"success"	"trial_type"	"trial_index"	"time_elapsed"	"internal_node_id"	"participant_id"	"screen_height"	"screen_width"	"browser"	"browser_version"	"mobile"	"os"	"vsync_rate"	"subject_id"	"width"	"height"	"webaudio"	"fullscreen"	"webcam"	"microphone"	"screen"	"version"	"date"	"time"	"rt"	"response"	"timeout"	"failed_images"	"failed_audio"	"failed_video"	"stimulus"	"trial_duration"	"block"	"correct_response"	"prestimulus_duration"	"correct"	"type"	"illusion_strength"	"illusion_difference"	"block_number"	"trial_number"
"TRUE"	"fullscreen"	"0"	"6250"	"0.0-0.0"	"uggt7m"	"657"	"1366"	"chrome"	"109.0.0"	"FALSE"	"Windows 10"	"60.45"	"140"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	"NULL"	n/a	"NULL"	"NULL"	"NULL"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	"browser-check"	"1"	"7264"	"0.0-1.0"	"uggt7m"	"657"	"1366"	"chrome"	"109.0.0"	"FALSE"	"Windows 10"	"60.45"	"140"	"1366"	"657"	"TRUE"	"TRUE"	"TRUE"	"TRUE"	"browser_info"	"1.0"	"18/01/2023"	"11:04:58"	n/a	"NULL"	n/a	"NULL"	"NULL"	"NULL"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	"survey-text"	"2"	"11195"	"0.0-2.0"	"uggt7m"	"657"	"1366"	"chrome"	"109.0.0"	"FALSE"	"Windows 10"	"60.45"	"140"	n/a	n/a	n/a	n/a	n/a	n/a	"subject_id"	n/a	n/a	n/a	"3924"	"list(subject_id = \"140\")"	n/a	"NULL"	"NULL"	"NULL"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
"TRUE"	"preload"	"3"	"11213"	"0.0-3.0"	"uggt7m"	"657"	"1366"	"chrome"	"109.0.0"	"FALSE"	"Windows 10"	"60.45"	"140"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	"NULL"	"FALSE"	"list()"	"list()"	"list()"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	"html-button-response"	"4"	"61648"	"0.0-4.0-0.0"	"uggt7m"	"657"	"1366"	"chrome"	"109.0.0"	"FALSE"	"Windows 10"	"60.45"	"140"	n/a	n/a	n/a	n/a	n/a	n/a	"illusion_instructions"	n/a	n/a	n/a	"50433"	"0"	n/a	"NULL"	"NULL"	"NULL"	"<p><b>Illusion Game</b></p><p>In this game of speed and reflex, you will need to make <b>visual judgments</b> (for instance, which circle is the biggest, or which line is the longest), as fast and as correctly as possible, while <b>resisting different visual illusions</b>.</p><p>We are going to start with some examples of all the illusions you will encounter in the game.</p>"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
"TRUE"	"preload"	"5"	"61674"	"0.0-4.0-1.0-0.0"	"uggt7m"	"657"	"1366"	"chrome"	"109.0.0"	"FALSE"	"Windows 10"	"60.45"	"140"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	"NULL"	"FALSE"	"list()"	"list()"	"list()"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	"html-keyboard-response"	"6"	"86630"	"0.0-4.0-1.0-1.0"	"uggt7m"	"657"	"1366"	"chrome"	"109.0.0"	"FALSE"	"Windows 10"	"60.45"	"140"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	"24955"	"enter"	n/a	"NULL"	"NULL"	"NULL"	"<p><b>Practice</b></p><p>In this part, two red circles will appear side by side on the screen.</p><p>Your task is to select which <b>red circle is bigger</b> in size as fast as you can, without making errors.</p><p>Don't get distracted by the surrounding black circles around the red circles!</p><p>Press <b>the LEFT or the RIGHT arrow</b> to indicate which is the bigger <b>red circle.</b></p><div style='float: center'><img src='materials/instructions/Ebbinghaus_Demo.png' height='300'></img><p><img src='utils/answer/answer_leftright_keyboard.PNG' height='150'></img></p><p class='small'>In this example, the correct answer is the <b>LEFT arrow</b>.</p></div><p>Are you ready? <b>Press ENTER to start</b></p>"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	"html-keyboard-response"	"7"	"88187"	"0.0-4.0-1.0-2.0-0.0"	"uggt7m"	"657"	"1366"	"chrome"	"109.0.0"	"FALSE"	"Windows 10"	"60.45"	"140"	n/a	n/a	n/a	n/a	n/a	n/a	"fixation"	n/a	n/a	n/a	n/a	"NULL"	n/a	"NULL"	"NULL"	"NULL"	"<p style=\"color: black; font-size: 80px; padding-left: 20%; padding-right: 44%; padding-top: 0%; padding-bottom: 46%\">+</p>"	"1031"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	"image-keyboard-response"	"8"	"89193"	"0.0-4.0-1.0-2.0-1.0"	"uggt7m"	"657"	"1366"	"chrome"	"109.0.0"	"FALSE"	"Windows 10"	"60.45"	"140"	n/a	n/a	n/a	n/a	n/a	n/a	"Trial"	n/a	n/a	n/a	"992"	"arrowleft"	n/a	"NULL"	"NULL"	"NULL"	"stimuli/Ebbinghaus_-100000_1.40000.png"	n/a	"Ebbinghaus"	"arrowleft"	"1557"	"TRUE"	"Ebbinghaus"	"-10000000000"	"1.4000000000"	"1"	"1"
n/a	"html-keyboard-response"	"9"	"90477"	"0.0-4.0-1.0-2.0-0.1"	"uggt7m"	"657"	"1366"	"chrome"	"109.0.0"	"FALSE"	"Windows 10"	"60.45"	"140"	n/a	n/a	n/a	n/a	n/a	n/a	"fixation"	n/a	n/a	n/a	n/a	"NULL"	n/a	"NULL"	"NULL"	"NULL"	"<p style=\"color: black; font-size: 80px; padding-left: 8%; padding-right: 44%; padding-top: 9%; padding-bottom: 1%\">+</p>"	"1276"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	"image-keyboard-response"	"10"	"91186"	"0.0-4.0-1.0-2.0-1.1"	"uggt7m"	"657"	"1366"	"chrome"	"109.0.0"	"FALSE"	"Windows 10"	"60.45"	"140"	n/a	n/a	n/a	n/a	n/a	n/a	"Trial"	n/a	n/a	n/a	"707"	"arrowright"	n/a	"NULL"	"NULL"	"NULL"	"stimuli/Ebbinghaus_-100000_-1.4000.png"	n/a	"Ebbinghaus"	"arrowright"	"1284"	"TRUE"	"Ebbinghaus"	"-10000000000"	"-1.400000000"	"1"	"2"
n/a	"html-keyboard-response"	"11"	"92370"	"0.0-4.0-1.0-2.0-0.2"	"uggt7m"	"657"	"1366"	"chrome"	"109.0.0"	"FALSE"	"Windows 10"	"60.45"	"140"	n/a	n/a	n/a	n/a	n/a	n/a	"fixation"	n/a	n/a	n/a	n/a	"NULL"	n/a	"NULL"	"NULL"	"NULL"	"<p style=\"color: black; font-size: 80px; padding-left: 18%; padding-right: 8%; padding-top: 44%; padding-bottom: 41%\">+</p>"	"1173"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	"image-keyboard-response"	"12"	"92883"	"0.0-4.0-1.0-2.0-1.2"	"uggt7m"	"657"	"1366"	"chrome"	"109.0.0"	"FALSE"	"Windows 10"	"60.45"	"140"	n/a	n/a	n/a	n/a	n/a	n/a	"Trial"	n/a	n/a	n/a	"512"	"arrowleft"	n/a	"NULL"	"NULL"	"NULL"	"stimuli/Ebbinghaus_1000000_1.40000.png"	n/a	"Ebbinghaus"	"arrowleft"	"1184"	"TRUE"	"Ebbinghaus"	"100000000000"	"1.4000000000"	"1"	"3"
n/a	"html-keyboard-response"	"13"	"93893"	"0.0-4.0-1.0-2.0-0.3"	"uggt7m"	"657"	"1366"	"chrome"	"109.0.0"	"FALSE"	"Windows 10"	"60.45"	"140"	n/a	n/a	n/a	n/a	n/a	n/a	"fixation"	n/a	n/a	n/a	n/a	"NULL"	n/a	"NULL"	"NULL"	"NULL"	"<p style=\"color: black; font-size: 80px; padding-left: 33%; padding-right: 14%; padding-top: 34%; padding-bottom: 25%\">+</p>"	"1001"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
