"success"	"trial_type"	"trial_index"	"time_elapsed"	"internal_node_id"	"participant_id"	"screen_height"	"screen_width"	"browser"	"browser_version"	"mobile"	"os"	"vsync_rate"	"subject_id"	"width"	"height"	"webaudio"	"fullscreen"	"webcam"	"microphone"	"screen"	"version"	"date"	"time"	"rt"	"response"	"timeout"	"failed_images"	"failed_audio"	"failed_video"	"stimulus"	"trial_duration"	"block"	"correct_response"	"prestimulus_duration"	"correct"	"type"	"illusion_strength"	"illusion_difference"	"block_number"	"trial_number"
"TRUE"	"fullscreen"	"0"	"1677"	"0.0-0.0"	"fcdggm"	"600"	"1366"	"chrome"	"111.0.0"	"FALSE"	"Windows 10"	"60.19"	"060"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	"NULL"	n/a	"NULL"	"NULL"	"NULL"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	"browser-check"	"1"	"2685"	"0.0-1.0"	"fcdggm"	"600"	"1366"	"chrome"	"111.0.0"	"FALSE"	"Windows 10"	"60.19"	"060"	"1366"	"600"	"TRUE"	"TRUE"	"TRUE"	"TRUE"	"browser_info"	"1.0"	"27/03/2023"	"14:23:41"	n/a	"NULL"	n/a	"NULL"	"NULL"	"NULL"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	"survey-text"	"2"	"9335"	"0.0-2.0"	"fcdggm"	"600"	"1366"	"chrome"	"111.0.0"	"FALSE"	"Windows 10"	"60.19"	"060"	n/a	n/a	n/a	n/a	n/a	n/a	"subject_id"	n/a	n/a	n/a	"6648"	"list(subject_id = \"060\")"	n/a	"NULL"	"NULL"	"NULL"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
"TRUE"	"preload"	"3"	"9345"	"0.0-3.0"	"fcdggm"	"600"	"1366"	"chrome"	"111.0.0"	"FALSE"	"Windows 10"	"60.19"	"060"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	"NULL"	"FALSE"	"list()"	"list()"	"list()"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	"html-button-response"	"4"	"43472"	"0.0-4.0-0.0"	"fcdggm"	"600"	"1366"	"chrome"	"111.0.0"	"FALSE"	"Windows 10"	"60.19"	"060"	n/a	n/a	n/a	n/a	n/a	n/a	"illusion_instructions"	n/a	n/a	n/a	"34127"	"0"	n/a	"NULL"	"NULL"	"NULL"	"<p><b>Illusion Game</b></p><p>In this game of speed and reflex, you will need to make <b>visual judgments</b> (for instance, which circle is the biggest, or which line is the longest), as fast and as correctly as possible, while <b>resisting different visual illusions</b>.</p><p>We are going to start with some examples of all the illusions you will encounter in the game.</p>"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
"TRUE"	"preload"	"5"	"43490"	"0.0-4.0-1.0-0.0"	"fcdggm"	"600"	"1366"	"chrome"	"111.0.0"	"FALSE"	"Windows 10"	"60.19"	"060"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	"NULL"	"FALSE"	"list()"	"list()"	"list()"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	"html-keyboard-response"	"6"	"63194"	"0.0-4.0-1.0-1.0"	"fcdggm"	"600"	"1366"	"chrome"	"111.0.0"	"FALSE"	"Windows 10"	"60.19"	"060"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	"19703"	"enter"	n/a	"NULL"	"NULL"	"NULL"	"<p><b>Practice</b></p><p>In this part, two red circles will appear side by side on the screen.</p><p>Your task is to select which <b>red circle is bigger</b> in size as fast as you can, without making errors.</p><p>Don't get distracted by the surrounding black circles around the red circles!</p><p>Press <b>the LEFT or the RIGHT arrow</b> to indicate which is the bigger <b>red circle.</b></p><div style='float: center'><img src='materials/instructions/Ebbinghaus_Demo.png' height='300'></img><p><img src='utils/answer/answer_leftright_keyboard.PNG' height='150'></img></p><p class='small'>In this example, the correct answer is the <b>LEFT arrow</b>.</p></div><p>Are you ready? <b>Press ENTER to start</b></p>"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	"html-keyboard-response"	"7"	"65106"	"0.0-4.0-1.0-2.0-0.0"	"fcdggm"	"600"	"1366"	"chrome"	"111.0.0"	"FALSE"	"Windows 10"	"60.19"	"060"	n/a	n/a	n/a	n/a	n/a	n/a	"fixation"	n/a	n/a	n/a	n/a	"NULL"	n/a	"NULL"	"NULL"	"NULL"	"<p style=\"color: black; font-size: 80px; padding-left: 27%; padding-right: 13%; padding-top: 29%; padding-bottom: 48%\">+</p>"	"1396"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	"image-keyboard-response"	"8"	"65712"	"0.0-4.0-1.0-2.0-1.0"	"fcdggm"	"600"	"1366"	"chrome"	"111.0.0"	"FALSE"	"Windows 10"	"60.19"	"060"	n/a	n/a	n/a	n/a	n/a	n/a	"Trial"	n/a	n/a	n/a	"605"	"arrowright"	n/a	"NULL"	"NULL"	"NULL"	"stimuli/Ebbinghaus_0000000_-1.4000.png"	n/a	"Ebbinghaus"	"arrowright"	"1912"	"TRUE"	"Ebbinghaus"	"000000000000"	"-1.400000000"	"1"	"1"
n/a	"html-keyboard-response"	"9"	"66884"	"0.0-4.0-1.0-2.0-0.1"	"fcdggm"	"600"	"1366"	"chrome"	"111.0.0"	"FALSE"	"Windows 10"	"60.19"	"060"	n/a	n/a	n/a	n/a	n/a	n/a	"fixation"	n/a	n/a	n/a	n/a	"NULL"	n/a	"NULL"	"NULL"	"NULL"	"<p style=\"color: black; font-size: 80px; padding-left: 21%; padding-right: 26%; padding-top: 45%; padding-bottom: 39%\">+</p>"	"1166"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	"image-keyboard-response"	"10"	"67373"	"0.0-4.0-1.0-2.0-1.1"	"fcdggm"	"600"	"1366"	"chrome"	"111.0.0"	"FALSE"	"Windows 10"	"60.19"	"060"	n/a	n/a	n/a	n/a	n/a	n/a	"Trial"	n/a	n/a	n/a	"489"	"arrowright"	n/a	"NULL"	"NULL"	"NULL"	"stimuli/Ebbinghaus_-100000_-1.4000.png"	n/a	"Ebbinghaus"	"arrowright"	"1172"	"TRUE"	"Ebbinghaus"	"-10000000000"	"-1.400000000"	"1"	"2"
n/a	"html-keyboard-response"	"11"	"68794"	"0.0-4.0-1.0-2.0-0.2"	"fcdggm"	"600"	"1366"	"chrome"	"111.0.0"	"FALSE"	"Windows 10"	"60.19"	"060"	n/a	n/a	n/a	n/a	n/a	n/a	"fixation"	n/a	n/a	n/a	n/a	"NULL"	n/a	"NULL"	"NULL"	"NULL"	"<p style=\"color: black; font-size: 80px; padding-left: 7%; padding-right: 3%; padding-top: 22%; padding-bottom: 1%\">+</p>"	"1407"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	"image-keyboard-response"	"12"	"69315"	"0.0-4.0-1.0-2.0-1.2"	"fcdggm"	"600"	"1366"	"chrome"	"111.0.0"	"FALSE"	"Windows 10"	"60.19"	"060"	n/a	n/a	n/a	n/a	n/a	n/a	"Trial"	n/a	n/a	n/a	"520"	"arrowleft"	n/a	"NULL"	"NULL"	"NULL"	"stimuli/Ebbinghaus_-100000_1.40000.png"	n/a	"Ebbinghaus"	"arrowleft"	"1421"	"TRUE"	"Ebbinghaus"	"-10000000000"	"1.4000000000"	"1"	"3"
n/a	"html-keyboard-response"	"13"	"70530"	"0.0-4.0-1.0-2.0-0.3"	"fcdggm"	"600"	"1366"	"chrome"	"111.0.0"	"FALSE"	"Windows 10"	"60.19"	"060"	n/a	n/a	n/a	n/a	n/a	n/a	"fixation"	n/a	n/a	n/a	n/a	"NULL"	n/a	"NULL"	"NULL"	"NULL"	"<p style=\"color: black; font-size: 80px; padding-left: 31%; padding-right: 17%; padding-top: 12%; padding-bottom: 22%\">+</p>"	"1202"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	"image-keyboard-response"	"14"	"70950"	"0.0-4.0-1.0-2.0-1.3"	"fcdggm"	"600"	"1366"	"chrome"	"111.0.0"	"FALSE"	"Windows 10"	"60.19"	"060"	n/a	n/a	n/a	n/a	n/a	n/a	"Trial"	n/a	n/a	n/a	"420"	"arrowleft"	n/a	"NULL"	"NULL"	"NULL"	"stimuli/Ebbinghaus_1000000_1.40000.png"	n/a	"Ebbinghaus"	"arrowleft"	"1215"	"TRUE"	"Ebbinghaus"	"100000000000"	"1.4000000000"	"1"	"4"
