"success"	"trial_type"	"trial_index"	"time_elapsed"	"internal_node_id"	"participant_id"	"screen_height"	"screen_width"	"browser"	"browser_version"	"mobile"	"os"	"vsync_rate"	"subject_id"	"width"	"height"	"webaudio"	"fullscreen"	"webcam"	"microphone"	"screen"	"version"	"date"	"time"	"rt"	"response"	"timeout"	"failed_images"	"failed_audio"	"failed_video"	"stimulus"	"trial_duration"	"block"	"correct_response"	"prestimulus_duration"	"correct"	"type"	"illusion_strength"	"illusion_difference"	"block_number"	"trial_number"
"TRUE"	"fullscreen"	"0"	"1988"	"0.0-0.0"	"34wwc5"	"600"	"1366"	"chrome"	"108.0.0"	"FALSE"	"Windows 10"	"60.43"	"132"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	"NULL"	n/a	"NULL"	"NULL"	"NULL"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	"browser-check"	"1"	"2995"	"0.0-1.0"	"34wwc5"	"600"	"1366"	"chrome"	"108.0.0"	"FALSE"	"Windows 10"	"60.43"	"132"	"1366"	"600"	"TRUE"	"TRUE"	"TRUE"	"TRUE"	"browser_info"	"1.0"	"12/01/2023"	"17:15:28"	n/a	"NULL"	n/a	"NULL"	"NULL"	"NULL"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	"survey-text"	"2"	"6971"	"0.0-2.0"	"34wwc5"	"600"	"1366"	"chrome"	"108.0.0"	"FALSE"	"Windows 10"	"60.43"	"132"	n/a	n/a	n/a	n/a	n/a	n/a	"subject_id"	n/a	n/a	n/a	"3972"	"list(subject_id = \"132\")"	n/a	"NULL"	"NULL"	"NULL"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
"TRUE"	"preload"	"3"	"6989"	"0.0-3.0"	"34wwc5"	"600"	"1366"	"chrome"	"108.0.0"	"FALSE"	"Windows 10"	"60.43"	"132"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	"NULL"	"FALSE"	"list()"	"list()"	"list()"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	"html-button-response"	"4"	"185082"	"0.0-4.0-0.0"	"34wwc5"	"600"	"1366"	"chrome"	"108.0.0"	"FALSE"	"Windows 10"	"60.43"	"132"	n/a	n/a	n/a	n/a	n/a	n/a	"illusion_instructions"	n/a	n/a	n/a	"178092"	"0"	n/a	"NULL"	"NULL"	"NULL"	"<p><b>Illusion Game</b></p><p>In this game of speed and reflex, you will need to make <b>visual judgments</b> (for instance, which circle is the biggest, or which line is the longest), as fast and as correctly as possible, while <b>resisting different visual illusions</b>.</p><p>We are going to start with some examples of all the illusions you will encounter in the game.</p>"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
"TRUE"	"preload"	"5"	"185107"	"0.0-4.0-1.0-0.0"	"34wwc5"	"600"	"1366"	"chrome"	"108.0.0"	"FALSE"	"Windows 10"	"60.43"	"132"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	"NULL"	"FALSE"	"list()"	"list()"	"list()"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	"html-keyboard-response"	"6"	"235345"	"0.0-4.0-1.0-1.0"	"34wwc5"	"600"	"1366"	"chrome"	"108.0.0"	"FALSE"	"Windows 10"	"60.43"	"132"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	"50236"	"enter"	n/a	"NULL"	"NULL"	"NULL"	"<p><b>Practice</b></p><p>In this part, two red circles will appear side by side on the screen.</p><p>Your task is to select which <b>red circle is bigger</b> in size as fast as you can, without making errors.</p><p>Don't get distracted by the surrounding black circles around the red circles!</p><p>Press <b>the LEFT or the RIGHT arrow</b> to indicate which is the bigger <b>red circle.</b></p><div style='float: center'><img src='materials/instructions/Ebbinghaus_Demo.png' height='300'></img><p><img src='utils/answer/answer_leftright_keyboard.PNG' height='150'></img></p><p class='small'>In this example, the correct answer is the <b>LEFT arrow</b>.</p></div><p>Are you ready? <b>Press ENTER to start</b></p>"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	"html-keyboard-response"	"7"	"237058"	"0.0-4.0-1.0-2.0-0.0"	"34wwc5"	"600"	"1366"	"chrome"	"108.0.0"	"FALSE"	"Windows 10"	"60.43"	"132"	n/a	n/a	n/a	n/a	n/a	n/a	"fixation"	n/a	n/a	n/a	n/a	"NULL"	n/a	"NULL"	"NULL"	"NULL"	"<p style=\"color: black; font-size: 80px; padding-left: 18%; padding-right: 30%; padding-top: 49%; padding-bottom: 46%\">+</p>"	"1194"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	"image-keyboard-response"	"8"	"237746"	"0.0-4.0-1.0-2.0-1.0"	"34wwc5"	"600"	"1366"	"chrome"	"108.0.0"	"FALSE"	"Windows 10"	"60.43"	"132"	n/a	n/a	n/a	n/a	n/a	n/a	"Trial"	n/a	n/a	n/a	"673"	"arrowleft"	n/a	"NULL"	"NULL"	"NULL"	"stimuli/Ebbinghaus_0000000_1.40000.png"	n/a	"Ebbinghaus"	"arrowleft"	"1713"	"TRUE"	"Ebbinghaus"	"000000000000"	"1.4000000000"	"1"	"1"
n/a	"html-keyboard-response"	"9"	"238981"	"0.0-4.0-1.0-2.0-0.1"	"34wwc5"	"600"	"1366"	"chrome"	"108.0.0"	"FALSE"	"Windows 10"	"60.43"	"132"	n/a	n/a	n/a	n/a	n/a	n/a	"fixation"	n/a	n/a	n/a	n/a	"NULL"	n/a	"NULL"	"NULL"	"NULL"	"<p style=\"color: black; font-size: 80px; padding-left: 19%; padding-right: 26%; padding-top: 4%; padding-bottom: 41%\">+</p>"	"1214"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	"image-keyboard-response"	"10"	"239485"	"0.0-4.0-1.0-2.0-1.1"	"34wwc5"	"600"	"1366"	"chrome"	"108.0.0"	"FALSE"	"Windows 10"	"60.43"	"132"	n/a	n/a	n/a	n/a	n/a	n/a	"Trial"	n/a	n/a	n/a	"503"	"arrowright"	n/a	"NULL"	"NULL"	"NULL"	"stimuli/Ebbinghaus_1000000_-1.4000.png"	n/a	"Ebbinghaus"	"arrowright"	"1235"	"TRUE"	"Ebbinghaus"	"100000000000"	"-1.400000000"	"1"	"2"
n/a	"html-keyboard-response"	"11"	"240524"	"0.0-4.0-1.0-2.0-0.2"	"34wwc5"	"600"	"1366"	"chrome"	"108.0.0"	"FALSE"	"Windows 10"	"60.43"	"132"	n/a	n/a	n/a	n/a	n/a	n/a	"fixation"	n/a	n/a	n/a	n/a	"NULL"	n/a	"NULL"	"NULL"	"NULL"	"<p style=\"color: black; font-size: 80px; padding-left: 32%; padding-right: 28%; padding-top: 9%; padding-bottom: 38%\">+</p>"	"1029"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	"image-keyboard-response"	"12"	"240967"	"0.0-4.0-1.0-2.0-1.2"	"34wwc5"	"600"	"1366"	"chrome"	"108.0.0"	"FALSE"	"Windows 10"	"60.43"	"132"	n/a	n/a	n/a	n/a	n/a	n/a	"Trial"	n/a	n/a	n/a	"441"	"arrowright"	n/a	"NULL"	"NULL"	"NULL"	"stimuli/Ebbinghaus_-100000_-1.4000.png"	n/a	"Ebbinghaus"	"arrowright"	"1039"	"TRUE"	"Ebbinghaus"	"-10000000000"	"-1.400000000"	"1"	"3"
n/a	"html-keyboard-response"	"13"	"242365"	"0.0-4.0-1.0-2.0-0.3"	"34wwc5"	"600"	"1366"	"chrome"	"108.0.0"	"FALSE"	"Windows 10"	"60.43"	"132"	n/a	n/a	n/a	n/a	n/a	n/a	"fixation"	n/a	n/a	n/a	n/a	"NULL"	n/a	"NULL"	"NULL"	"NULL"	"<p style=\"color: black; font-size: 80px; padding-left: 2%; padding-right: 7%; padding-top: 25%; padding-bottom: 7%\">+</p>"	"1380"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	"image-keyboard-response"	"14"	"242828"	"0.0-4.0-1.0-2.0-1.3"	"34wwc5"	"600"	"1366"	"chrome"	"108.0.0"	"FALSE"	"Windows 10"	"60.43"	"132"	n/a	n/a	n/a	n/a	n/a	n/a	"Trial"	n/a	n/a	n/a	"461"	"arrowright"	n/a	"NULL"	"NULL"	"NULL"	"stimuli/Ebbinghaus_0000000_-1.4000.png"	n/a	"Ebbinghaus"	"arrowright"	"1398"	"TRUE"	"Ebbinghaus"	"000000000000"	"-1.400000000"	"1"	"4"
n/a	"html-keyboard-response"	"15"	"243877"	"0.0-4.0-1.0-2.0-0.4"	"34wwc5"	"600"	"1366"	"chrome"	"108.0.0"	"FALSE"	"Windows 10"	"60.43"	"132"	n/a	n/a	n/a	n/a	n/a	n/a	"fixation"	n/a	n/a	n/a	n/a	"NULL"	n/a	"NULL"	"NULL"	"NULL"	"<p style=\"color: black; font-size: 80px; padding-left: 37%; padding-right: 40%; padding-top: 34%; padding-bottom: 36%\">+</p>"	"1033"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	"image-keyboard-response"	"16"	"244268"	"0.0-4.0-1.0-2.0-1.4"	"34wwc5"	"600"	"1366"	"chrome"	"108.0.0"	"FALSE"	"Windows 10"	"60.43"	"132"	n/a	n/a	n/a	n/a	n/a	n/a	"Trial"	n/a	n/a	n/a	"390"	"arrowleft"	n/a	"NULL"	"NULL"	"NULL"	"stimuli/Ebbinghaus_1000000_1.40000.png"	n/a	"Ebbinghaus"	"arrowleft"	"1049"	"TRUE"	"Ebbinghaus"	"100000000000"	"1.4000000000"	"1"	"5"
n/a	"html-keyboard-response"	"17"	"245523"	"0.0-4.0-1.0-2.0-0.5"	"34wwc5"	"600"	"1366"	"chrome"	"108.0.0"	"FALSE"	"Windows 10"	"60.43"	"132"	n/a	n/a	n/a	n/a	n/a	n/a	"fixation"	n/a	n/a	n/a	n/a	"NULL"	n/a	"NULL"	"NULL"	"NULL"	"<p style=\"color: black; font-size: 80px; padding-left: 29%; padding-right: 21%; padding-top: 48%; padding-bottom: 39%\">+</p>"	"1247"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	"image-keyboard-response"	"18"	"246149"	"0.0-4.0-1.0-2.0-1.5"	"34wwc5"	"600"	"1366"	"chrome"	"108.0.0"	"FALSE"	"Windows 10"	"60.43"	"132"	n/a	n/a	n/a	n/a	n/a	n/a	"Trial"	n/a	n/a	n/a	"624"	"arrowleft"	n/a	"NULL"	"NULL"	"NULL"	"stimuli/Ebbinghaus_-100000_1.40000.png"	n/a	"Ebbinghaus"	"arrowleft"	"1255"	"TRUE"	"Ebbinghaus"	"-10000000000"	"1.4000000000"	"1"	"6"
